Category,Appliance,Type/Variant,Min Power (W),Max Power (W),Surge Factor,Typical Hours/day,Notes
chunk 12: Laundry & Cleaning Appliances,Washing Machine,Manual (Non-Automatic),200,400,1.5,0.5–2,Basic units without spin; common in rural areas and low-income homes.
,,Semi-Automatic (Twin Tub),300,600,1.5,0.5–2,"Widespread in Nigeria; affordable, requires manual water filling."
,,Fully Automatic (Top Load),500,1000,1.5,0.5–2,"Urban homes; convenient, fills and drains automatically."
,,Fully Automatic (Front Load),800,2000,1.8,0.5–2,"Premium option; gentle on clothes; seen in upscale homes, laundromats."
,,Industrial Washer,2000,5000,2,4–12,"Used in hotels, hospitals, commercial laundries."
,Clothes Dryer,Venting Dryer,1500,2500,1.5,1–3,Rare in Nigeria due to sunny weather; seen in urban apartments.
,,Condenser Dryer,1800,3000,1.5,1–3,Premium; urban middle/upper-class homes.
,,Washer-Dryer Combo,2000,3500,1.5,1–3,Used where space is limited; found in compact apartments.
,,Industrial Dryer,3000,6000,2,2–6,"Laundromats, hotels."
,Vacuum Cleaner,Handheld Vacuum,100,300,1.2,0.25–1,Used in cars and small households.
,,Upright Vacuum,400,1200,1.3,0.25–2,Popular in homes and offices.
,,Canister Vacuum,800,1600,1.3,0.25–2,"More powerful, common in hotels and large offices."
,,Robotic Vacuum,30,60,1,1–4,Rare in Nigeria; premium households only.
,,Industrial Vacuum,1000,3000,1.5,0.5–4,"Used in hotels, event halls, factories."
,Steam Cleaner,Handheld Steam Cleaner,800,1200,1.3,0.25–1,"Used for tiles, fabrics; middle-class homes and cleaning services."
,,Floor Steam Mop,1000,1500,1.3,0.25–1,"Found in upscale homes, hotels, offices."
,Iron (Pressing Iron),Dry Iron,1000,1500,1.5,0.25–1,Widely used across Nigeria.
,,Steam Iron,1200,2000,1.5,0.25–1,Common in middle-class homes.
,,Cordless Iron,800,1200,1.5,0.25–1,"Rechargeable, less common; premium option."
,,Industrial Iron (Heavy),2000,4000,1.5,0.5–2,"Used in hotels, tailoring shops, uniform services."
,Sewing Machine,Manual/Electric Hybrid,30,80,1,1–4,Tailoring shops across Nigeria.
,,Industrial Electric,300,800,1.2,2–8,Found in professional tailoring shops.
,,Embroidery Machine,500,1200,1.3,2–6,Used in fashion design and branding shops.
,Polisher,Floor Polisher,600,1200,1.3,1–3,"Found in offices, schools, hotels."
